Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
182             ,   64 18 15 ,   87 24 13,      4.175,      0.000,      0.000,        3.758,        1.808,      0.189
183             ,   68 17 51 ,   98 04 14,      4.080,      0.000,      0.000,        3.753,        1.494,     -0.573
184             ,   63 46 00 ,  107 23 14,      4.390,      0.000,      0.000,        3.758,        1.852,     -1.312
185             ,   86 22 53 ,  109 18 03,      3.963,      0.000,      0.000,        3.732,        0.236,     -1.310
186             ,   94 06 42 ,   95 24 53,      3.764,      0.000,      0.000,        3.737,       -0.269,     -0.355
187             ,   86 14 29 ,   82 51 35,      3.777,      0.000,      0.000,        3.740,        0.246,      0.470
188             ,   93 39 47 ,   70 23 54,      3.985,      0.000,      0.000,        3.746,       -0.240,      1.337
189             ,   86 57 03 ,   58 18 09,      4.407,      0.000,      0.000,        3.744,        0.199,      2.315
190             ,   93 53 11 ,   48 47 22,      5.000,      0.000,      0.000,        3.753,       -0.255,      3.294
191             ,   86 49 27 ,   39 35 16,      5.885,      0.000,      0.000,        3.744,        0.208,      4.535
192             ,   93 58 18 ,   33 37 12,      6.801,      0.000,      0.000,        3.757,       -0.261,      5.664
193             ,   87 02 02 ,   28 48 13,      7.781,      0.000,      0.000,        3.744,        0.194,      6.818
194             ,   92 44 26 ,   26 05 42,      8.555,      0.000,      0.000,        3.759,       -0.180,      7.683
195             ,  110 53 02 ,   27 48 10,      8.642,      0.000,      0.000,        3.766,       -1.437,      7.644
196             ,  115 56 47 ,   32 04 40,      7.866,      0.000,      0.000,        3.756,       -1.828,      6.665
197             ,  111 07 53 ,   36 49 17,      6.722,      0.000,      0.000,        3.758,       -1.452,      5.381
198             ,  116 15 29 ,   42 18 40,      6.213,      0.000,      0.000,        3.751,       -1.850,      4.595
199             ,  111 15 05 ,   49 31 15,      5.293,      0.000,      0.000,        3.752,       -1.459,      3.436
200             ,  116 29 58 ,   58 04 15,      4.929,      0.000,      0.000,        3.744,       -1.867,      2.607
201             ,  111 41 34 ,   65 20 05,      4.435,      0.000,      0.000,        3.745,       -1.490,      1.851
202             ,  116 36 15 ,   78 30 34,      4.260,      0.000,      0.000,        3.733,       -1.870,      0.849
203             ,  112 14 34 ,   89 20 28,      4.036,      0.000,      0.000,        3.736,       -1.528,      0.046
204             ,  116 20 39 ,   97 01 15,      4.191,      0.000,      0.000,        3.728,       -1.846,     -0.512
205             ,  111 18 19 ,  108 26 41,      4.220,      0.000,      0.000,        3.729,       -1.454,     -1.335
206             ,  133 05 24 ,  104 50 20,      5.271,      0.000,      0.000,        3.721,       -3.481,     -1.350
207             ,  132 56 32 ,   92 54 13,      5.095,      0.000,      0.000,        3.725,       -3.467,     -0.258
208             ,  132 56 43 ,   81 56 36,      5.147,      0.000,      0.000,        3.730,       -3.472,      0.721
209             ,  132 56 39 ,   69 55 42,      5.433,      0.000,      0.000,        3.736,       -3.477,      1.865
210             ,  132 56 41 ,   60 09 12,      5.891,      0.000,      0.000,        3.740,       -3.481,      2.932
211             ,  132 48 15 ,   50 35 45,      6.608,      0.000,      0.000,        3.746,       -3.469,      4.194
212             ,  132 48 14 ,   42 07 19,      7.622,      0.000,      0.000,        3.751,       -3.474,      5.653
213             ,  132 48 01 ,   36 29 19,      8.605,      0.000,      0.000,        3.755,       -3.477,      6.918
214             ,  132 41 23 ,   33 33 47,      9.252,      0.000,      0.000,        3.760,       -3.468,      7.709
215             ,  151 59 01 ,  104 55 47,      5.385,      0.000,      0.000,        2.444,       -4.593,     -1.387
216             ,  156 36 47 ,   96 04 32,      5.014,      0.000,      0.000,        1.979,       -4.577,     -0.531
217             ,  151 12 56 ,   87 17 11,      5.235,      0.000,      0.000,        2.518,       -4.583,      0.248
218             ,  156 01 47 ,   76 43 22,      5.134,      0.000,      0.000,        2.030,       -4.566,      1.179
219             ,  151 00 33 ,   69 10 20,      5.595,      0.000,      0.000,        2.535,       -4.574,      1.989
220             ,  156 14 39 ,   60 52 19,      5.700,      0.000,      0.000,        2.006,       -4.557,      2.774
221             ,  151 17 00 ,   54 41 08,      6.379,      0.000,      0.000,        2.501,       -4.565,      3.688
222             ,  155 49 41 ,   47 41 05,      6.745,      0.000,      0.000,        2.042,       -4.550,      4.541
223             ,  151 09 15 ,   43 14 47,      7.584,      0.000,      0.000,        2.507,       -4.551,      5.524
224             ,  156 08 32 ,   37 35 51,      8.131,      0.000,      0.000,        2.006,       -4.537,      6.442
225             ,  151 08 52 ,   33 59 11,      9.261,      0.000,      0.000,        2.498,       -4.534,      7.679
226             ,  156 12 33 ,   32 45 01,      9.150,      0.000,      0.000,        1.997,       -4.529,      7.695
227             ,  168 38 27 ,   30 51 59,      8.981,      0.000,      0.000,        0.907,       -4.517,      7.709
228             ,  174 11 12 ,   32 28 19,      8.467,      0.000,      0.000,        0.460,       -4.522,      7.143
229             ,  168 29 40 ,   35 42 30,      7.918,      0.000,      0.000,        0.922,       -4.528,      6.429
230             ,  174 06 41 ,   43 26 57,      6.641,      0.000,      0.000,        0.469,       -4.543,      4.821
231             ,  167 58 36 ,   49 48 35,      6.091,      0.000,      0.000,        0.969,       -4.551,      3.931
232             ,  174 17 22 ,   56 16 31,      5.506,      0.000,      0.000,        0.456,       -4.557,      3.057
233             ,  168 38 23 ,   63 35 05,      5.194,      0.000,      0.000,        0.916,       -4.560,      2.310
234             ,  174 31 32 ,   72 45 11,      4.805,      0.000,      0.000,        0.438,       -4.568,      1.425
235             ,  168 29 34 ,   80 20 26,      4.726,      0.000,      0.000,        0.929,       -4.565,      0.793
236             ,  173 51 58 ,   87 29 00,      4.601,      0.000,      0.000,        0.491,       -4.570,      0.202
237             ,  168 38 55 ,   96 07 32,      4.690,      0.000,      0.000,        0.918,       -4.572,     -0.500
238             ,  174 43 14 ,  106 30 17,      4.790,      0.000,      0.000,        0.423,       -4.574,     -1.361
239             ,  189 07 34 ,  106 02 44,      4.818,      0.000,      0.000,       -0.734,       -4.571,     -1.332
240             ,  193 56 03 ,   95 29 41,      4.726,      0.000,      0.000,       -1.133,       -4.566,     -0.453
241             ,  188 43 41 ,   85 51 56,      4.631,      0.000,      0.000,       -0.701,       -4.565,      0.334
242             ,  194 27 40 ,   76 19 34,      4.853,      0.000,      0.000,       -1.178,       -4.566,      1.147
243             ,  188 55 56 ,   65 29 29,      5.071,      0.000,      0.000,       -0.716,       -4.559,      2.104
244             ,  193 58 27 ,   58 35 34,      5.509,      0.000,      0.000,       -1.135,       -4.563,      2.871
245             ,  187 40 01 ,   52 03 42,      5.821,      0.000,      0.000,       -0.613,       -4.550,      3.579
246             ,  193 59 54 ,   46 40 15,      6.457,      0.000,      0.000,       -1.136,       -4.557,      4.430
247             ,  188 31 41 ,   39 30 21,      7.216,      0.000,      0.000,       -0.681,       -4.540,      5.568
248             ,  194 16 19 ,   36 11 44,      7.944,      0.000,      0.000,       -1.156,       -4.546,      6.411
249             ,  188 55 18 ,   30 43 52,      8.963,      0.000,      0.000,       -0.710,       -4.525,      7.704
250             ,  205 53 49 ,   34 49 49,      8.790,      0.000,      0.000,       -2.193,       -4.516,      7.215
251             ,  210 04 30 ,   40 10 54,      8.101,      0.000,      0.000,       -2.619,       -4.523,      6.189
252             ,  206 09 02 ,   45 44 18,      7.046,      0.000,      0.000,       -2.224,       -4.529,      4.917
253             ,  210 19 20 ,   51 36 02,      6.701,      0.000,      0.000,       -2.651,       -4.533,      4.162
254             ,  207 27 34 ,   59 52 32,      5.917,      0.000,      0.000,       -2.360,       -4.541,      2.969
255             ,  210 18 27 ,   71 37 03,      5.551,      0.000,      0.000,       -2.658,       -4.547,      1.750
256             ,  206 02 42 ,   79 22 16,      5.147,      0.000,      0.000,       -2.221,       -4.545,      0.949
257             ,  211 03 43 ,   87 36 37,      5.314,      0.000,      0.000,       -2.739,       -4.548,      0.222
258             ,  206 28 15 ,   93 37 47,      5.092,      0.000,      0.000,       -2.265,       -4.549,     -0.322
259             ,  206 27 51 ,  104 41 40,      5.267,      0.000,      0.000,       -2.270,       -4.561,     -1.336
260             ,  209 12 40 ,  103 39 27,      5.387,      0.000,      0.000,       -2.555,       -4.569,     -1.272
261             ,  148 32 48 ,   94 50 10,      6.282,      0.000,      0.000,        3.266,       -5.340,     -0.530
262             ,  150 19 24 ,   87 51 55,      6.155,      0.000,      0.000,        3.045,       -5.344,      0.229
