   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
133             ,  159 04 07 ,   16 18 01,      7.331,      0.000,      0.000,        0.735,       -1.922,      7.036
134             ,  137 47 10 ,   21 26 39,      7.144,      0.000,      0.000,        1.755,       -1.934,      6.649
135             ,  124 39 04 ,   30 29 56,      6.722,      0.000,      0.000,        2.807,       -1.940,      5.792
136             ,  138 51 56 ,   24 41 29,      6.151,      0.000,      0.000,        1.690,       -1.935,      5.589
137             ,  238 14 04 ,   33 51 34,      6.314,      0.000,      0.000,       -2.991,       -1.852,      5.243
138             ,  204 54 21 ,   26 02 44,      4.705,      0.000,      0.000,       -0.870,       -1.874,      4.227
139             ,  150 43 59 ,   28 18 41,      4.585,      0.000,      0.000,        1.063,       -1.897,      4.037
140             ,  126 02 41 ,   36 53 10,      5.419,      0.000,      0.000,        2.630,       -1.914,      4.334
141             ,  124 32 15 ,   48 54 23,      4.432,      0.000,      0.000,        2.752,       -1.894,      2.913
142             ,  141 13 53 ,   42 58 25,      3.556,      0.000,      0.000,        1.518,       -1.890,      2.602
143             ,  172 08 20 ,   36 58 09,      3.141,      0.000,      0.000,        0.258,       -1.871,      2.509
144             ,  219 20 22 ,   41 22 56,      3.633,      0.000,      0.000,       -1.523,       -1.858,      2.726
145             ,  232 20 23 ,   54 11 23,      3.715,      0.000,      0.000,       -2.385,       -1.841,      2.174
146             ,  238 20 01 ,   70 59 06,      3.703,      0.000,      0.000,       -2.979,       -1.838,      1.206
147             ,  218 13 38 ,   65 53 39,      2.597,      0.000,      0.000,       -1.467,       -1.862,      1.061
148             ,  190 08 06 ,   60 51 13,      2.187,      0.000,      0.000,       -0.336,       -1.881,      1.065
149             ,  159 27 36 ,   60 51 36,      2.302,      0.000,      0.000,        0.705,       -1.883,      1.121
150             ,  134 49 17 ,   64 05 42,      2.950,      0.000,      0.000,        1.882,       -1.871,      1.289
151             ,  125 03 47 ,   69 43 58,      3.483,      0.000,      0.000,        2.674,       -1.877,      1.206
152             ,  127 56 27 ,   83 31 58,      3.063,      0.000,      0.000,        2.400,       -1.871,      0.345
153             ,  129 25 10 ,   99 35 45,      2.988,      0.000,      0.000,        2.276,       -1.871,     -0.498
154             ,  141 59 07 ,  118 27 01,      2.709,      0.000,      0.000,        1.467,       -1.877,     -1.291
155             ,  141 59 14 ,   92 47 22,      2.387,      0.000,      0.000,        1.468,       -1.878,     -0.116
156             ,  141 59 28 ,   70 22 08,      2.528,      0.000,      0.000,        1.466,       -1.876,      0.849
157             ,  168 36 53 ,   68 02 11,      2.072,      0.000,      0.000,        0.379,       -1.884,      0.775
158             ,  175 35 29 ,   91 13 21,      1.883,      0.000,      0.000,        0.145,       -1.877,     -0.040
159             ,  174 08 52 ,  112 26 55,      2.036,      0.000,      0.000,        0.192,       -1.872,     -0.777
160             ,  170 58 45 ,  126 14 50,      2.337,      0.000,      0.000,        0.295,       -1.861,     -1.382
161             ,  198 47 28 ,  123 37 35,      2.351,      0.000,      0.000,       -0.631,       -1.853,     -1.302
162             ,  198 47 25 ,  103 14 31,      2.025,      0.000,      0.000,       -0.635,       -1.866,     -0.464
163             ,  198 47 28 ,   79 10 01,      2.014,      0.000,      0.000,       -0.637,       -1.872,      0.378
164             ,  203 14 46 ,   56 22 34,      2.453,      0.000,      0.000,       -0.806,       -1.876,      1.358
165             ,  214 27 14 ,   68 02 30,      2.441,      0.000,      0.000,       -1.281,       -1.867,      0.913
166             ,  214 26 22 ,   87 55 49,      2.258,      0.000,      0.000,       -1.276,       -1.861,      0.082
167             ,  223 42 33 ,  117 35 42,      2.870,      0.000,      0.000,       -1.757,       -1.838,     -1.329
168             ,  235 50 35 ,  102 43 12,      3.349,      0.000,      0.000,       -2.703,       -1.834,     -0.737
