   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
250             ,  217 17 24 ,   85 33 33,      5.033,      0.000,      0.000,       -3.040,       -3.992,      0.390
251             ,  213 02 18 ,   93 15 22,      4.800,      0.000,      0.000,       -2.613,       -4.018,     -0.273
252             ,  148 47 05 ,   93 07 42,      5.633,      0.000,      0.000,        2.915,       -4.810,     -0.307
253             ,  150 52 53 ,   85 46 52,      5.519,      0.000,      0.000,        2.679,       -4.809,      0.406
254             ,  148 48 43 ,   78 30 38,      5.722,      0.000,      0.000,        2.904,       -4.797,      1.140
255             ,  150 10 59 ,   69 24 53,      5.896,      0.000,      0.000,        2.744,       -4.788,      2.073
256             ,  149 04 51 ,   62 11 00,      6.292,      0.000,      0.000,        2.860,       -4.774,      2.936
257             ,  150 45 18 ,   55 52 46,      6.602,      0.000,      0.000,        2.670,       -4.769,      3.704
258             ,  149 02 24 ,   49 20 12,      7.306,      0.000,      0.000,        2.851,       -4.752,      4.761
259             ,  150 15 20 ,   44 15 09,      7.835,      0.000,      0.000,        2.713,       -4.747,      5.612
260             ,  148 50 22 ,   39 49 09,      8.631,      0.000,      0.000,        2.860,       -4.730,      6.630
261             ,  150 00 28 ,   35 15 16,      9.443,      0.000,      0.000,        2.725,       -4.721,      7.711
262             ,  164 39 50 ,   32 31 37,      9.085,      0.000,      0.000,        1.292,       -4.711,      7.660
263             ,  167 09 52 ,   35 59 42,      8.239,      0.000,      0.000,        1.076,       -4.721,      6.666
264             ,  164 06 04 ,   41 06 04,      7.488,      0.000,      0.000,        1.348,       -4.734,      5.643
265             ,  168 49 17 ,   45 35 27,      6.772,      0.000,      0.000,        0.938,       -4.746,      4.739
266             ,  164 50 24 ,   51 22 48,      6.310,      0.000,      0.000,        1.289,       -4.758,      3.938
267             ,  168 38 09 ,   56 17 10,      5.839,      0.000,      0.000,        0.957,       -4.762,      3.241
268             ,  164 28 25 ,   61 20 07,      5.647,      0.000,      0.000,        1.326,       -4.774,      2.709
269             ,  169 20 24 ,   66 49 53,      5.292,      0.000,      0.000,        0.900,       -4.781,      2.082
270             ,  164 39 25 ,   75 46 15,      5.125,      0.000,      0.000,        1.315,       -4.791,      1.260
271             ,  169 38 03 ,   82 56 35,      4.911,      0.000,      0.000,        0.877,       -4.794,      0.603
272             ,  164 44 47 ,   89 42 50,      4.983,      0.000,      0.000,        1.311,       -4.807,      0.025
273             ,  168 32 26 ,  103 58 45,      5.067,      0.000,      0.000,        0.977,       -4.819,     -1.224
274             ,  182 54 03 ,  102 45 09,      4.939,      0.000,      0.000,       -0.244,       -4.811,     -1.090
275             ,  188 56 19 ,   92 48 10,      4.868,      0.000,      0.000,       -0.756,       -4.804,     -0.238
276             ,  183 55 09 ,   82 55 55,      4.835,      0.000,      0.000,       -0.328,       -4.787,      0.595
277             ,  189 08 51 ,   72 56 03,      5.067,      0.000,      0.000,       -0.770,       -4.782,      1.487
278             ,  183 19 49 ,   62 49 35,      5.367,      0.000,      0.000,       -0.277,       -4.767,      2.451
279             ,  189 13 13 ,   54 37 14,      5.910,      0.000,      0.000,       -0.772,       -4.757,      3.422
280             ,  183 44 55 ,   48 35 51,      6.339,      0.000,      0.000,       -0.311,       -4.745,      4.192
281             ,  189 31 02 ,   43 55 02,      6.922,      0.000,      0.000,       -0.794,       -4.735,      4.986
282             ,  183 40 10 ,   39 47 04,      7.399,      0.000,      0.000,       -0.303,       -4.725,      5.686
283             ,  189 30 46 ,   33 23 40,      8.663,      0.000,      0.000,       -0.788,       -4.703,      7.233
284             ,  185 04 58 ,   30 59 16,      9.163,      0.000,      0.000,       -0.418,       -4.699,      7.855
285             ,  203 53 39 ,   33 21 53,      9.340,      0.000,      0.000,       -2.081,       -4.697,      7.801
286             ,  206 01 36 ,   37 00 36,      8.701,      0.000,      0.000,       -2.298,       -4.706,      6.948
287             ,  203 35 58 ,   40 08 11,      7.977,      0.000,      0.000,       -2.059,       -4.712,      6.098
288             ,  205 51 53 ,   45 33 36,      7.354,      0.000,      0.000,       -2.290,       -4.724,      5.149
289             ,  202 43 04 ,   50 36 19,      6.642,      0.000,      0.000,       -1.982,       -4.734,      4.215
290             ,  205 44 32 ,   56 20 05,      6.329,      0.000,      0.000,       -2.288,       -4.745,      3.509
291             ,  203 04 26 ,   63 04 20,      5.800,      0.000,      0.000,       -2.027,       -4.757,      2.627
292             ,  206 12 43 ,   72 38 35,      5.569,      0.000,      0.000,       -2.348,       -4.769,      1.661
293             ,  202 49 56 ,   78 38 23,      5.289,      0.000,      0.000,       -2.012,       -4.779,      1.042
294             ,  205 57 24 ,   86 10 56,      5.331,      0.000,      0.000,       -2.328,       -4.783,      0.355
295             ,  203 07 16 ,   92 05 35,      5.213,      0.000,      0.000,       -2.046,       -4.791,     -0.190
296             ,  204 41 27 ,  100 22 13,      5.368,      0.000,      0.000,       -2.206,       -4.797,     -0.966
297             ,  338 11 18 ,   34 17 16,      9.693,      0.000,      0.000,       -2.029,        5.070,      8.009
